epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.6904,3.663,4.13798,4.25683,0.00052,0.0303,0.00039,8e-05,3.53971,4.24853,4.15774,0.00017148,0.00017148,0.00017148
2,166.351,3.64518,4.04645,4.19052,0.00214,0.12121,0.00153,0.00037,3.53189,4.24426,4.1513,0.000353713,0.000353713,0.000353713
3,238.316,3.62528,3.89323,4.12989,0.00212,0.10985,0.00151,0.00042,3.50762,4.23296,4.12769,0.000532268,0.000532268,0.000532268
4,310.817,3.56585,3.67972,4.03833,0.00225,0.11742,0.00321,0.00072,3.4672,4.24132,4.09292,0.000707145,0.000707145,0.000707145
5,382.068,3.42026,3.57148,3.89912,0.00137,0.06061,0.00181,0.00043,3.51832,4.31896,4.10014,0.000878343,0.000878343,0.000878343
6,455.654,3.28615,3.42866,3.70263,0.00103,0.04167,0.00059,0.00019,3.56638,4.58766,4.28084,0.00104586,0.00104586,0.00104586
7,528.226,3.13309,3.3303,3.52581,0.67667,0.01894,0.00188,0.00052,3.61207,4.72097,4.12008,0.00120971,0.00120971,0.00120971
8,600.027,3.11616,3.23881,3.3777,0.00253,0.12896,0.01028,0.00202,3.36865,4.06216,3.9359,0.00132997,0.00132997,0.00132997
9,675.308,3.08853,3.161,3.2753,0.35134,0.0303,0.00806,0.00201,3.35548,3.89479,3.91662,0.00131582,0.00131582,0.00131582
10,745.909,3.00783,3.02424,3.14614,0.37931,0.04193,0.01973,0.00708,3.17368,3.54969,3.60806,0.00130168,0.00130168,0.00130168
11,817.108,2.91127,3.03765,3.04532,0.36276,0.10254,0.00951,0.00254,3.1525,4.35546,3.44037,0.00128753,0.00128753,0.00128753
12,888.1,2.95253,2.98544,2.98548,0.38806,0.10659,0.02453,0.00701,2.94314,4.11753,3.21071,0.00127338,0.00127338,0.00127338
13,958.656,2.83424,2.91855,2.91944,0.40029,0.09144,0.02395,0.00596,3.10361,5.60638,3.35171,0.00125923,0.00125923,0.00125923
14,1031.58,2.78235,2.88612,2.903,0.37167,0.16728,0.02555,0.00573,2.97179,5.36623,3.2617,0.00124509,0.00124509,0.00124509
15,1103.93,2.80688,2.83677,2.84768,0.5265,0.15742,0.11339,0.03736,2.59005,3.93044,2.86519,0.00123094,0.00123094,0.00123094
16,1175.85,2.7144,2.74264,2.79517,0.46649,0.18023,0.11545,0.03717,2.52571,3.45633,2.71483,0.00121679,0.00121679,0.00121679
17,1247.31,2.6877,2.73286,2.76729,0.53994,0.16482,0.12254,0.04606,2.52947,3.30162,2.67243,0.00120265,0.00120265,0.00120265
18,1772.8,2.71458,2.68823,2.74443,0.49361,0.17222,0.10875,0.03531,2.57291,3.10913,2.82311,0.0011885,0.0011885,0.0011885
19,1844.24,2.64252,2.64924,2.68875,0.63383,0.14992,0.16376,0.05634,2.36595,2.73128,2.57335,0.00117435,0.00117435,0.00117435
20,1914.94,2.5617,2.55297,2.63305,0.60999,0.20337,0.19163,0.06155,2.46989,2.56097,2.61941,0.00116021,0.00116021,0.00116021
21,1985.17,2.58649,2.51179,2.6249,0.55565,0.18763,0.15806,0.06203,2.44786,2.79563,2.68523,0.00114606,0.00114606,0.00114606
22,2056.41,2.54256,2.4796,2.58392,0.63212,0.21494,0.20087,0.0746,2.3388,2.88796,2.54215,0.00113191,0.00113191,0.00113191
23,2126.6,2.50835,2.50704,2.57279,0.63463,0.20105,0.2171,0.08113,2.42896,2.45883,2.62114,0.00111776,0.00111776,0.00111776
24,2197.01,2.47098,2.39459,2.53691,0.64979,0.2037,0.22617,0.08891,2.30114,2.37529,2.49651,0.00110362,0.00110362,0.00110362
25,2267.3,2.44538,2.40465,2.49841,0.59027,0.21098,0.19994,0.07067,2.35738,2.44413,2.60472,0.00108947,0.00108947,0.00108947
26,2337.24,2.44785,2.3787,2.5121,0.72748,0.23397,0.25986,0.10693,2.19241,2.39325,2.4261,0.00107532,0.00107532,0.00107532
27,2416.06,2.40484,2.31905,2.43405,0.59296,0.22683,0.21114,0.07856,2.2916,2.32952,2.46042,0.00106118,0.00106118,0.00106118
28,2490.48,2.37923,2.27683,2.39649,0.60775,0.23053,0.21698,0.08103,2.24544,2.42859,2.48033,0.00104703,0.00104703,0.00104703
